bib,age,5k_minutes,10k_minutes,15k_minutes,20k_minutes,Half_minutes,25k_minutes,30k_minutes,35k_minutes,40k_minutes,gender_F,gender_M,finish_minutes
2767,31.0,20.63,41.08,,,,,,,,1,0,175.78
3059,36.0,20.32,40.2,,,,,,,,0,1,176.05
4638,32.0,20.58,40.8,,,,,,,,0,1,176.07
5628,24.0,21.12,41.73,,,,,,,,0,1,176.17
4971,31.0,21.2,42.12,,,,,,,,0,1,176.23
7513,29.0,20.8,41.95,,,,,,,,0,1,176.33
3426,32.0,20.82,41.4,,,,,,,,0,1,176.37
7072,25.0,20.68,41.38,,,,,,,,1,0,176.38
4671,39.0,20.72,41.18,,,,,,,,1,0,176.45
4661,39.0,20.63,41.37,,,,,,,,0,1,176.53
25813,38.0,19.88,39.3,,,,,,,,0,1,176.57
5679,39.0,20.27,40.55,,,,,,,,0,1,176.58
3374,28.0,21.3,42.1,,,,,,,,1,0,176.67
2791,28.0,20.9,41.62,,,,,,,,0,1,176.67
11028,28.0,22.17,42.6,,,,,,,,1,0,176.7
9862,31.0,21.05,41.35,,,,,,,,1,0,176.73
5722,34.0,20.32,40.3,,,,,,,,0,1,176.75
1864,24.0,18.58,37.57,,,,,,,,0,1,176.97
4381,32.0,21.07,42.12,,,,,,,,0,1,177.0
6823,39.0,21.02,41.2,,,,,,,,0,1,177.27
6047,33.0,21.52,42.8,,,,,,,,0,1,177.28
6951,38.0,20.85,41.13,,,,,,,,0,1,177.43
5602,31.0,21.07,41.85,,,,,,,,1,0,177.53
5368,37.0,21.63,42.73,,,,,,,,0,1,177.57
2417,27.0,19.95,39.55,,,,,,,,0,1,177.62
5404,35.0,21.37,42.48,,,,,,,,0,1,177.63
3380,29.0,20.53,40.85,,,,,,,,0,1,177.65
4038,27.0,20.68,40.9,,,,,,,,0,1,177.68
4505,29.0,20.75,41.23,,,,,,,,0,1,177.68
1953,24.0,19.78,39.28,,,,,,,,0,1,177.73
5384,36.0,20.97,41.67,,,,,,,,0,1,177.75
2832,24.0,20.92,41.87,,,,,,,,0,1,177.93
10416,33.0,22.03,42.97,,,,,,,,1,0,177.97
3583,29.0,20.87,41.53,,,,,,,,0,1,178.1
6211,25.0,20.82,40.93,,,,,,,,1,0,178.22
2968,37.0,18.88,37.63,,,,,,,,0,1,178.27
1681,26.0,19.52,38.77,,,,,,,,0,1,178.32
3821,25.0,20.23,40.6,,,,,,,,0,1,178.4
5639,27.0,21.35,42.48,,,,,,,,0,1,178.68
6444,31.0,21.15,41.83,,,,,,,,0,1,178.7
5130,38.0,21.62,42.65,,,,,,,,0,1,178.85
6838,29.0,21.02,42.17,,,,,,,,1,0,178.9
9809,32.0,20.7,41.2,,,,,,,,1,0,179.05
3731,30.0,21.53,42.97,,,,,,,,0,1,179.08
4924,37.0,21.37,42.5,,,,,,,,0,1,179.1
5112,28.0,21.13,41.87,,,,,,,,0,1,179.15
5259,28.0,21.08,41.93,,,,,,,,1,0,179.2
6492,35.0,21.18,42.42,,,,,,,,0,1,179.2
16323,24.0,21.0,41.33,,,,,,,,1,0,179.23
4161,39.0,20.98,40.95,,,,,,,,0,1,179.33
6828,35.0,21.25,42.53,,,,,,,,0,1,179.63
5687,37.0,20.88,42.05,,,,,,,,0,1,179.65
7095,37.0,21.08,42.15,,,,,,,,0,1,179.67
3831,37.0,20.85,41.37,,,,,,,,0,1,179.7
5405,29.0,21.47,42.45,,,,,,,,0,1,179.73
8581,37.0,20.8,41.53,,,,,,,,1,0,179.82
31180,22.0,22.73,43.95,,,,,,,,0,1,179.88
4534,23.0,22.17,43.77,,,,,,,,0,1,180.03
3910,39.0,21.5,42.75,,,,,,,,0,1,180.05
6472,38.0,21.07,41.6,,,,,,,,0,1,180.07
1809,25.0,20.73,41.83,,,,,,,,0,1,180.23
5881,34.0,21.03,42.2,,,,,,,,0,1,180.35
4829,38.0,21.33,42.32,,,,,,,,0,1,180.38
6651,28.0,21.53,42.7,,,,,,,,0,1,180.6
12293,30.0,21.73,42.9,,,,,,,,1,0,180.68
6806,27.0,20.52,41.0,,,,,,,,1,0,180.83
4488,29.0,20.9,41.72,,,,,,,,0,1,180.97
2556,31.0,21.33,42.32,,,,,,,,0,1,181.1
2563,25.0,20.67,41.7,,,,,,,,0,1,181.1
2644,29.0,19.92,39.75,,,,,,,,0,1,181.13
7326,37.0,21.83,43.5,,,,,,,,0,1,181.18
5413,36.0,20.95,42.15,,,,,,,,0,1,181.58
6015,36.0,20.93,41.85,,,,,,,,0,1,181.62
2712,30.0,20.95,41.95,,,,,,,,0,1,181.62
6661,37.0,21.78,43.15,,,,,,,,0,1,181.62
13055,29.0,21.87,43.13,,,,,,,,1,0,181.67
5546,38.0,21.38,42.6,,,,,,,,0,1,181.72
5667,29.0,20.47,40.93,,,,,,,,0,1,181.8
10480,27.0,21.78,43.5,,,,,,,,1,0,181.87
2059,32.0,21.32,41.33,,,,,,,,0,1,181.9
5409,37.0,21.55,43.05,,,,,,,,1,0,181.93
941,37.0,19.72,39.9,,,,,,,,1,0,182.23
12733,26.0,21.25,41.88,,,,,,,,1,0,182.28
31712,38.0,21.43,42.18,,,,,,,,0,1,182.37
5292,34.0,21.12,41.52,,,,,,,,0,1,182.45
6009,30.0,20.62,41.18,,,,,,,,0,1,182.55
4950,25.0,21.45,42.77,,,,,,,,0,1,182.58
6397,39.0,20.82,41.55,,,,,,,,0,1,182.58
4856,39.0,21.1,42.02,,,,,,,,0,1,182.67
12183,20.0,22.05,43.67,,,,,,,,1,0,182.8
9120,30.0,21.63,43.08,,,,,,,,1,0,183.25
7359,33.0,20.5,40.37,,,,,,,,1,0,183.27
5311,34.0,21.32,42.5,,,,,,,,0,1,183.33
8223,30.0,21.2,42.47,,,,,,,,1,0,183.42
6464,34.0,21.1,42.0,,,,,,,,0,1,183.57
15275,27.0,22.57,45.07,,,,,,,,1,0,183.6
2554,35.0,20.48,40.83,,,,,,,,0,1,183.73
8565,37.0,21.57,42.42,,,,,,,,0,1,183.83
5635,39.0,21.92,43.73,,,,,,,,0,1,183.97
4767,27.0,20.93,41.68,,,,,,,,0,1,183.98
11097,28.0,22.23,43.65,,,,,,,,1,0,184.12
4306,39.0,21.33,42.85,,,,,,,,0,1,184.23
8362,39.0,20.4,40.73,,,,,,,,0,1,184.27
5586,34.0,21.0,41.97,,,,,,,,0,1,184.33
7352,37.0,21.48,42.75,,,,,,,,0,1,184.37
6354,36.0,21.55,42.93,,,,,,,,0,1,184.42
5919,32.0,21.58,42.75,,,,,,,,0,1,184.63
5892,22.0,20.4,40.93,,,,,,,,0,1,184.65
4978,35.0,21.33,42.03,,,,,,,,0,1,184.65
4819,39.0,21.33,42.78,,,,,,,,0,1,184.72
6361,38.0,21.25,42.3,,,,,,,,0,1,184.75
8503,37.0,21.28,42.93,,,,,,,,0,1,185.07
2321,39.0,20.87,41.72,,,,,,,,0,1,185.27
27767,23.0,23.7,45.07,,,,,,,,0,1,185.52
3105,29.0,20.07,40.23,,,,,,,,0,1,185.6
14348,39.0,22.1,43.87,,,,,,,,1,0,185.62
6676,39.0,21.27,42.35,,,,,,,,0,1,185.62
11885,31.0,22.65,44.62,,,,,,,,1,0,185.72
4146,37.0,20.9,41.6,,,,,,,,0,1,185.93
12254,34.0,21.07,41.82,,,,,,,,1,0,185.95
12146,22.0,23.17,45.62,,,,,,,,1,0,186.05
6519,39.0,21.1,42.22,,,,,,,,0,1,186.13
