bib,age,20k_minutes,avg_pace_to_20k,perc_decay_15k_to_20k,finish_minutes
20917,49,104.1,11.53,-0.07,224.77
21261,64,102.87,11.67,-0.61,224.77
22030,45,105.27,11.4,0.21,224.77
17918,56,100.13,11.98,-0.2,224.77
20365,52,106.47,11.27,-0.15,224.78
22648,47,105.0,11.43,-0.1,224.78
18341,50,103.28,11.62,-0.31,224.8
24933,38,102.95,11.66,-0.28,224.8
17356,38,109.77,10.93,0.0,224.8
15783,63,104.03,11.54,-0.5,224.8
20453,50,104.58,11.47,-0.13,224.82
19179,52,100.03,12.0,-1.74,224.82
18775,49,102.5,11.71,-0.62,224.83
14789,51,95.6,12.55,-0.17,224.83
30316,46,98.95,12.13,-0.19,224.83
22825,54,105.73,11.35,-0.27,224.83
22469,48,105.45,11.38,-0.14,224.85
32085,32,103.25,11.62,-0.18,224.85
22358,45,103.63,11.58,-0.67,224.85
21626,46,105.6,11.36,-0.42,224.87
18010,28,103.28,11.62,-1.15,224.87
19085,38,100.15,11.98,-0.02,224.87
26366,31,95.95,12.51,0.02,224.87
19089,42,103.02,11.65,-0.6,224.88
18475,59,106.33,11.29,-0.4,224.88
15774,50,99.1,12.11,-0.53,224.9
16970,60,98.35,12.2,-2.48,224.9
17082,36,103.27,11.62,-0.07,224.9
20718,51,101.15,11.86,-0.57,224.9
18905,43,105.3,11.4,0.13,224.9
17387,33,105.5,11.37,-0.2,224.9
20228,46,106.82,11.23,-0.04,224.92
20098,45,105.82,11.34,-0.42,224.92
16212,63,106.37,11.28,-0.1,224.93
21881,49,103.05,11.64,-0.59,224.93
17615,38,105.77,11.35,0.13,224.93
13957,33,100.18,11.98,-1.88,224.95
19791,44,103.7,11.57,-0.23,224.95
13849,45,92.08,13.03,-1.06,224.95
22154,61,102.05,11.76,-0.34,224.95
18410,60,100.47,11.94,-0.6,224.95
13758,56,100.25,11.97,-0.67,224.97
20712,63,99.67,12.04,-0.9,224.97
13281,46,101.95,11.77,-1.28,224.97
20588,42,101.45,11.83,0.45,224.97
17282,36,103.63,11.58,-0.96,224.98
19922,43,100.42,11.95,-1.12,224.98
22785,50,105.9,11.33,0.06,224.98
31588,43,105.17,11.41,0.31,224.98
21777,49,105.37,11.39,-0.14,224.98
25495,45,107.28,11.19,0.77,224.98
20117,66,103.05,11.64,-0.31,225.0
18659,58,102.03,11.76,0.32,225.0
30771,28,110.58,10.85,0.02,225.0
26650,29,106.65,11.25,-0.17,225.0
27489,39,100.82,11.9,-0.58,225.0
13550,52,99.13,12.11,-0.04,225.0
20105,52,105.43,11.38,-0.26,225.0
18257,38,103.12,11.64,-0.09,225.02
14392,51,101.55,11.82,-0.9,225.02
19751,48,103.47,11.6,-0.2,225.02
21167,45,105.08,11.42,0.03,225.02
21726,45,104.35,11.5,-0.53,225.02
22775,53,104.13,11.52,-0.47,225.03
21279,48,101.27,11.85,-0.46,225.03
19058,37,103.0,11.65,-0.71,225.03
24595,59,106.33,11.29,-0.62,225.05
29799,49,102.4,11.72,-0.39,225.05
12097,46,94.7,12.67,-0.95,225.05
16450,61,107.27,11.19,0.1,225.07
31466,55,105.75,11.35,-0.33,225.07
17498,58,98.55,12.18,-0.59,225.07
12126,46,96.87,12.39,-1.63,225.08
29547,55,103.38,11.61,0.99,225.08
20431,46,103.03,11.65,-0.38,225.08
15369,57,105.07,11.42,-0.54,225.1
20786,62,99.78,12.03,-1.16,225.1
17496,59,106.32,11.29,-0.05,225.12
13703,25,99.02,12.12,0.09,225.12
22626,58,103.15,11.63,-0.34,225.12
31442,35,108.52,11.06,0.16,225.12
18441,66,103.4,11.61,1.19,225.13
21160,49,104.55,11.48,0.01,225.13
20614,64,102.68,11.69,-0.64,225.13
15778,64,107.43,11.17,-0.4,225.17
21704,60,101.77,11.79,-0.08,225.17
21208,45,104.68,11.46,-0.01,225.18
6638,50,102.32,11.73,-1.65,225.18
25778,47,99.18,12.1,-1.49,225.18
16454,56,97.53,12.3,-1.87,225.2
19287,44,104.3,11.51,-0.25,225.22
20901,57,104.27,11.51,0.1,225.22
20680,57,106.43,11.28,-1.37,225.22
29608,30,107.83,11.13,0.75,225.22
23020,51,102.55,11.7,-0.5,225.23
12704,50,104.0,11.54,-2.33,225.23
20143,43,105.1,11.42,-0.39,225.23
18599,57,102.47,11.71,-0.81,225.23
21294,49,105.7,11.35,0.12,225.25
22280,64,103.87,11.55,-0.54,225.25
26988,26,106.53,11.26,-0.12,225.25
25843,25,93.75,12.8,-1.48,225.25
24431,68,100.12,11.99,-0.36,225.27
19283,50,101.42,11.83,-1.49,225.27
18530,42,105.73,11.35,-0.79,225.27
30732,33,108.85,11.02,0.41,225.27
22031,62,109.12,11.0,-1.33,225.28
17987,26,97.95,12.25,-0.53,225.28
20204,40,104.87,11.44,-0.13,225.3
22240,46,103.75,11.57,-0.31,225.3
18067,54,106.82,11.23,-0.24,225.3
