bib,age,5k_minutes,10k_minutes,15k_minutes,20k_minutes,Half_minutes,25k_minutes,30k_minutes,35k_minutes,40k_minutes,gender_F,gender_M,pace_5k_to_10k,percentage_decay_5k_to_10k,finish_minutes
1155,38.0,20.07,39.67,59.48,79.62,83.95,99.58,119.83,140.05,160.2,0,1,15.31,1.18,168.77
3869,24.0,19.17,38.75,58.6,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.32,-1.06,168.8
3388,35.0,20.2,39.83,59.52,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.28,1.43,168.85
155,32.0,18.28,36.43,54.73,73.83,78.08,93.5,114.37,136.3,158.87,1,0,16.53,0.36,168.9
5229,28.0,19.7,39.15,58.55,78.12,82.38,97.68,117.77,138.4,159.2,0,1,15.42,0.64,169.0
4350,35.0,20.13,39.55,59.07,78.67,82.92,0.0,0.0,0.0,0.0,0,1,15.45,1.8,169.02
1248,37.0,19.22,38.48,57.93,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.58,-0.1,169.03
2723,27.0,20.52,40.83,61.28,0.0,0.0,0.0,0.0,0.0,0.0,0,1,14.77,0.51,169.08
2534,35.0,20.27,40.02,59.9,79.8,84.07,99.47,0.0,0.0,0.0,0,1,15.19,1.3,169.15
2965,27.0,20.58,40.43,60.53,80.67,84.98,0.0,0.0,0.0,0.0,0,1,15.11,1.81,169.33
3730,34.0,20.48,39.95,59.6,79.45,83.7,99.13,119.2,139.83,160.42,0,1,15.41,2.53,169.33
1491,33.0,20.15,40.02,59.82,79.67,84.02,99.6,0.0,0.0,0.0,0,1,15.1,0.7,169.42
1803,27.0,20.12,39.95,59.73,79.62,83.92,99.55,119.97,140.4,0.0,0,1,15.13,0.73,169.45
3252,31.0,20.82,41.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,14.81,1.39,169.48
1411,37.0,19.83,39.68,59.48,79.4,83.68,99.15,119.45,140.18,0.0,0,1,15.11,-0.05,169.6
3317,28.0,19.85,39.35,58.7,77.95,82.12,97.37,117.87,139.0,160.08,0,1,15.38,0.89,169.63
5195,26.0,20.23,40.27,60.18,0.0,0.0,0.0,0.0,0.0,0.0,0,1,14.97,0.47,169.7
3589,29.0,19.43,38.3,57.18,76.1,80.25,95.08,114.68,136.2,159.17,0,1,15.9,1.46,169.75
1099,32.0,19.68,39.0,58.33,78.03,82.3,97.95,118.7,139.72,160.9,0,1,15.53,0.92,169.78
3381,34.0,21.27,40.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.4,4.39,169.83
2612,28.0,20.8,41.07,61.13,81.02,85.33,0.0,0.0,0.0,0.0,0,1,14.8,1.29,170.43
2592,26.0,19.85,39.72,59.83,79.93,84.35,100.17,120.7,141.15,161.47,0,1,15.1,-0.05,170.45
3537,29.0,20.58,40.67,60.68,80.77,85.17,100.73,121.28,142.2,161.92,0,1,14.93,1.2,170.48
3307,34.0,19.65,39.17,58.67,78.47,82.78,98.32,0.0,0.0,0.0,0,1,15.37,0.33,170.58
1814,27.0,19.53,38.33,57.97,78.28,82.68,98.62,119.87,141.1,161.8,0,1,15.96,1.9,170.75
1817,26.0,19.8,39.8,60.0,80.28,84.68,100.73,121.45,142.33,162.12,0,1,15.0,-0.5,170.85
1913,27.0,19.97,39.98,60.22,80.58,84.92,100.48,0.0,0.0,0.0,0,1,14.99,-0.1,170.88
3401,38.0,20.42,40.48,60.47,80.65,85.05,100.87,121.6,142.65,0.0,0,1,14.96,0.89,171.0
3979,32.0,19.93,39.38,59.12,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.42,1.22,171.02
828,26.0,17.5,34.98,52.72,70.7,74.73,89.73,111.22,135.92,160.77,0,1,17.16,0.06,171.05
2481,39.0,20.27,39.63,58.8,78.25,82.43,97.67,117.67,138.52,161.05,0,1,15.5,2.3,171.08
2757,30.0,20.92,41.8,62.58,83.23,87.73,104.35,124.92,144.62,163.17,0,1,14.37,0.1,171.17
3116,37.0,20.58,40.93,61.32,81.58,86.03,101.93,122.8,143.13,162.88,0,1,14.74,0.56,171.37
900,36.0,18.92,38.02,57.25,76.83,0.0,0.0,0.0,0.0,0.0,0,1,15.71,-0.47,171.42
3431,32.0,20.55,40.83,61.07,81.42,85.82,101.75,122.47,0.0,0.0,0,1,14.79,0.66,171.58
1434,31.0,19.47,38.72,58.12,77.85,82.17,97.72,118.43,139.78,161.63,0,1,15.58,0.57,171.62
1415,32.0,19.78,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.37,0.66,171.68
3594,34.0,20.75,40.4,60.37,80.47,84.82,100.73,121.68,142.97,163.1,0,1,15.27,2.72,171.77
3508,32.0,20.98,41.18,61.58,81.88,86.23,102.18,122.8,143.28,163.3,0,1,14.85,1.89,171.83
3203,34.0,20.47,40.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,15.04,1.29,171.87
2718,29.0,20.23,40.05,59.8,79.75,84.05,99.58,120.18,0.0,0.0,0,1,15.14,1.02,172.28
4910,28.0,20.52,40.83,60.97,81.13,85.52,101.15,121.55,142.57,0.0,0,1,14.77,0.51,172.52
2797,35.0,19.67,39.03,58.6,78.25,82.5,97.95,118.63,140.17,162.57,0,1,15.5,0.79,172.95
4370,28.0,20.28,40.03,59.8,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.19,1.32,173.08
3429,29.0,20.42,40.82,61.13,81.48,85.98,101.87,0.0,0.0,0.0,0,1,14.71,0.05,173.28
2124,33.0,20.92,41.32,61.67,82.13,86.57,102.58,123.33,144.2,0.0,0,1,14.71,1.26,173.33
3201,25.0,20.85,41.73,62.63,83.57,88.03,104.43,125.28,0.0,0.0,0,1,14.37,-0.07,173.57
2144,38.0,21.5,42.57,64.88,85.17,89.62,105.02,125.47,145.95,165.33,0,1,14.24,1.01,173.68
2989,39.0,20.47,40.18,60.27,80.58,84.97,0.0,0.0,0.0,0.0,0,1,15.22,1.89,173.78
5123,32.0,20.72,41.02,61.22,81.37,85.75,101.8,122.63,143.57,163.7,0,1,14.78,1.02,173.92
4531,38.0,20.48,40.68,60.77,81.08,85.6,101.55,0.0,0.0,0.0,0,1,14.85,0.69,173.95
