bib,age,5k_minutes,10k_minutes,15k_minutes,20k_minutes,Half_minutes,25k_minutes,30k_minutes,35k_minutes,40k_minutes,gender_F,gender_M,finish_minutes
3537,29.0,20.58,40.67,60.68,80.77,85.17,100.73,121.28,142.2,0.0,0,0,0.0
3307,34.0,19.65,39.17,58.67,78.47,82.78,0.0,0.0,0.0,0.0,0,0,0.0
1814,27.0,19.53,38.33,57.97,78.28,82.68,98.62,119.87,141.1,161.8,0,1,170.75
1817,26.0,19.8,39.8,60.0,80.28,84.68,100.73,121.45,142.33,162.12,0,1,170.85
1913,27.0,19.97,39.98,60.22,80.58,84.92,0.0,0.0,0.0,0.0,0,0,0.0
3401,38.0,20.42,40.48,60.47,80.65,85.05,100.87,121.6,0.0,0.0,0,0,0.0
3979,32.0,19.93,39.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
828,26.0,17.5,34.98,52.72,70.7,74.73,89.73,111.22,135.92,160.77,0,1,171.05
2481,39.0,20.27,39.63,58.8,78.25,82.43,97.67,117.67,138.52,161.05,0,1,171.08
2757,30.0,20.92,41.8,62.58,83.23,87.73,104.35,124.92,144.62,163.17,0,1,171.17
3116,37.0,20.58,40.93,61.32,81.58,86.03,101.93,122.8,143.13,162.88,0,1,171.37
900,36.0,18.92,38.02,57.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3431,32.0,20.55,40.83,61.07,81.42,85.82,101.75,0.0,0.0,0.0,0,0,0.0
1434,31.0,19.47,38.72,58.12,77.85,82.17,97.72,118.43,139.78,161.63,0,1,171.62
1415,32.0,19.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3594,34.0,20.75,40.4,60.37,80.47,84.82,100.73,121.68,142.97,163.1,0,1,171.77
3508,32.0,20.98,41.18,61.58,81.88,86.23,102.18,122.8,143.28,163.3,0,1,171.83
3203,34.0,20.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2718,29.0,20.23,40.05,59.8,79.75,84.05,99.58,0.0,0.0,0.0,0,0,0.0
4910,28.0,20.52,40.83,60.97,81.13,85.52,101.15,121.55,0.0,0.0,0,0,0.0
2797,35.0,19.67,39.03,58.6,78.25,82.5,97.95,118.63,140.17,162.57,0,1,172.95
4370,28.0,20.28,40.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3429,29.0,20.42,40.82,61.13,81.48,85.98,0.0,0.0,0.0,0.0,0,0,0.0
2124,33.0,20.92,41.32,61.67,82.13,86.57,102.58,123.33,0.0,0.0,0,0,0.0
3201,25.0,20.85,41.73,62.63,83.57,88.03,104.43,0.0,0.0,0.0,0,0,0.0
2144,38.0,21.5,42.57,64.88,85.17,89.62,105.02,125.47,145.95,165.33,0,1,173.68
2989,39.0,20.47,40.18,60.27,80.58,0.0,0.0,0.0,0.0,0.0,0,0,0.0
5123,32.0,20.72,41.02,61.22,81.37,85.75,101.8,122.63,143.57,163.7,0,1,173.92
4531,38.0,20.48,40.68,60.77,81.08,85.6,0.0,0.0,0.0,0.0,0,0,0.0
2220,26.0,20.8,41.92,62.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
5238,38.0,20.37,40.32,60.28,80.53,84.98,0.0,0.0,0.0,0.0,0,0,0.0
1350,27.0,18.87,37.55,56.28,75.42,79.57,94.67,0.0,0.0,0.0,0,0,0.0
4917,36.0,20.25,40.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
5125,30.0,20.8,41.27,61.7,82.4,86.8,0.0,0.0,0.0,0.0,0,0,0.0
6290,24.0,20.98,41.72,62.38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
7233,27.0,20.8,41.33,61.87,82.53,87.0,0.0,0.0,0.0,0.0,0,0,0.0
5109,36.0,20.72,40.95,61.8,82.22,86.67,102.63,123.42,144.2,165.35,0,1,174.83
5922,28.0,21.23,42.07,62.88,83.78,88.32,104.5,0.0,0.0,0.0,0,0,0.0
1750,28.0,19.67,39.45,59.33,79.22,83.58,99.5,121.02,143.08,165.93,0,1,175.02
3338,30.0,19.15,38.1,57.47,77.48,81.87,98.37,0.0,0.0,0.0,0,0,0.0
3705,24.0,21.12,41.73,62.37,83.43,88.0,0.0,0.0,0.0,0.0,0,0,0.0
4820,29.0,20.1,40.0,59.93,80.15,84.6,100.6,0.0,0.0,0.0,0,0,0.0
1017,32.0,19.43,39.37,60.62,80.97,85.42,102.88,123.87,145.2,166.08,0,1,175.25
8004,36.0,19.68,40.0,60.75,81.57,86.08,102.43,123.57,145.2,0.0,0,0,0.0
3465,29.0,20.78,40.97,61.65,82.45,86.95,0.0,0.0,0.0,0.0,0,0,0.0
902,32.0,19.87,40.75,61.5,81.53,85.75,101.15,121.38,142.63,164.27,0,1,175.57
1509,32.0,19.05,37.72,56.65,76.3,80.6,96.88,119.12,143.1,165.87,0,1,175.73
2767,31.0,20.63,41.08,61.67,82.65,87.18,103.47,0.0,0.0,0.0,0,0,0.0
3059,36.0,20.32,40.2,60.23,80.45,84.87,100.73,121.9,0.0,0.0,0,0,0.0
4638,32.0,20.58,40.8,60.75,80.8,85.27,101.15,122.25,144.25,166.45,0,1,176.07
5628,24.0,21.12,41.73,62.37,83.43,88.0,104.13,125.15,146.2,167.08,0,1,176.17
4971,31.0,21.2,42.12,63.0,83.93,0.0,0.0,0.0,0.0,0.0,0,0,0.0
7513,29.0,20.8,41.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3426,32.0,20.82,41.4,62.0,82.48,86.98,103.1,123.9,144.78,166.77,0,1,176.37
7072,25.0,20.68,41.38,62.17,82.9,87.47,103.87,125.1,0.0,0.0,0,0,0.0
4671,39.0,20.72,41.18,61.75,82.53,87.12,103.47,124.43,146.13,167.25,1,0,176.45
4661,39.0,20.63,41.37,62.25,83.17,0.0,0.0,0.0,0.0,0.0,0,0,0.0
25813,38.0,19.88,39.3,59.57,80.63,85.12,101.38,122.78,145.02,166.82,0,1,176.57
5679,39.0,20.27,40.55,61.13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3374,28.0,21.3,42.1,62.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2791,28.0,20.9,41.62,62.42,83.27,87.77,104.1,125.22,146.57,167.45,0,1,176.67
11028,28.0,22.17,42.6,63.1,83.72,88.23,104.3,125.43,147.05,167.48,1,0,176.7
9862,31.0,21.05,41.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
5722,34.0,20.32,40.3,60.15,80.05,84.33,0.0,0.0,0.0,0.0,0,0,0.0
1864,24.0,18.58,37.57,57.2,77.65,82.12,98.17,120.78,144.57,167.6,0,1,176.97
4381,32.0,21.07,42.12,63.07,83.9,88.43,104.58,125.52,146.45,0.0,0,0,0.0
6823,39.0,21.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
6047,33.0,21.52,42.8,63.83,85.38,89.88,105.93,127.03,147.95,168.17,0,1,177.28
6951,38.0,20.85,41.13,61.9,82.12,86.57,0.0,0.0,0.0,0.0,0,0,0.0
5602,31.0,21.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
5368,37.0,21.63,42.73,63.6,84.6,89.18,0.0,0.0,0.0,0.0,0,0,0.0
2417,27.0,19.95,39.55,59.5,80.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
5404,35.0,21.37,42.48,63.55,84.77,89.38,105.87,127.4,148.92,168.75,0,1,177.63
3380,29.0,20.53,40.85,61.3,81.87,86.38,102.47,123.68,0.0,0.0,0,0,0.0
4038,27.0,20.68,40.9,61.43,82.42,86.83,103.27,0.0,0.0,0.0,0,0,0.0
4505,29.0,20.75,41.23,61.77,82.53,86.92,102.75,0.0,0.0,0.0,0,0,0.0
1953,24.0,19.78,39.28,59.07,79.27,83.67,99.83,121.05,144.03,166.2,0,1,177.73
5384,36.0,20.97,41.67,62.42,83.1,87.55,104.4,0.0,0.0,0.0,0,0,0.0
2832,24.0,20.92,41.87,62.42,83.23,87.75,104.1,125.63,0.0,0.0,0,0,0.0
10416,33.0,22.03,42.97,63.55,84.45,88.93,105.37,127.0,148.37,168.83,1,0,177.97
3583,29.0,20.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
6211,25.0,20.82,40.93,60.85,81.18,85.52,101.42,122.53,145.72,168.57,1,0,178.22
2968,37.0,18.88,37.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1681,26.0,19.52,38.77,57.98,77.48,81.7,97.22,118.18,142.73,167.32,0,1,178.32
3821,25.0,20.23,40.6,61.2,81.98,86.57,103.02,124.63,146.85,168.82,0,1,178.4
5639,27.0,21.35,42.48,63.52,84.57,89.22,105.62,126.88,0.0,0.0,0,0,0.0
6444,31.0,21.15,41.83,62.43,83.15,87.68,103.88,0.0,0.0,0.0,0,0,0.0
